class_name,category,sampling_category,eligible,review_required,exclusion_reasons,review_reasons,overflow_risk,has_if,has_loop,estimated_loop_depth,has_array,has_recursion,method_count
ParabolaDirectrix,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
CombineLists,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SecondFrequent,nested,nested,False,True,uses Java strings; creates Java objects,review nontrivial loop control,possible,True,True,2,True,False,1
TextMatchOne,branch,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
MinOps,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
LongestIncreasingSubsequence,nested,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
ConsecutiveDuplicates,multi_path_loop,recursive,False,True,uses Object values; creates Java objects,review helper-method translation,possible,True,True,1,True,True,2
Minimum,branch,branch,True,False,,,low,True,False,0,False,False,1
MinOfTwo,branch,branch,True,False,,,low,True,False,0,False,False,1
MaxSumIncreasingSubsequence,nested,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
CountFac,multi_path_loop,multi_path_loop,True,True,,review nontrivial loop control,possible,True,True,1,False,False,1
SumEven,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
SortCounter,single_path_loop,single_path_loop,False,False,uses Java strings; uses Java collections; uses streams or lambdas; uses Object values; creates Java objects,,possible,False,True,1,True,False,1
PrimeNum,multi_path_loop,multi_path_loop,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,True,True,1,False,False,1
ExtractSingly,nested,nested,False,False,uses Java collections,,possible,False,True,2,True,False,1
MutipleTuple,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
NumCommDiv,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
CommonPrefix,nested,nested,False,False,uses Java strings,,possible,True,True,2,True,False,1
FindLongWord,multi_path_loop,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,True,False,1
RadianDegree,sequential,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,low,False,False,0,False,False,1
SumNums,branch,branch,True,False,,,possible,True,False,0,False,False,1
PairWise,single_path_loop,single_path_loop,True,False,,,possible,True,True,1,True,False,1
Answer,multi_path_loop,multi_path_loop,False,True,uses Java collections,review nontrivial loop control,possible,True,True,1,False,False,0
SubstractElements,nested,nested,True,False,,,possible,False,True,2,True,False,1
TwoUniqueNums,multi_path_loop,multi_path_loop,False,False,uses Java collections,,possible,True,True,1,True,False,1
AreaPolygon,sequential,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,False,False,0,False,False,1
SimilarElements,multi_path_loop,multi_path_loop,False,False,uses Java collections,,possible,True,True,1,True,False,1
MaxSubArraySumRepeated,multi_path_loop,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
RotateLeft,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
MultiplesOfNum,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
CheckIsosceles,sequential,sequential,False,False,declares boxed primitive values,,low,False,False,0,False,False,1
CountElim,multi_path_loop,multi_path_loop,False,False,uses Object values,,possible,True,True,1,True,False,1
CountIntgralPoints,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
MaxSubArraySum,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountingSort,nested,nested,True,False,,,possible,True,True,2,True,False,1
SumEvenOdd,multi_path_loop,multi_path_loop,True,True,,review nontrivial loop control,possible,True,True,1,True,False,1
CheckChar,branch,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
MinProductTuple,nested,nested,True,True,,check the corresponding C math-library operation,possible,False,True,2,True,False,1
IsNotPrime,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,False,False,1
FindLucas,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
RemoveAllSpaces,multi_path_loop,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,False,False,1
Split,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
Count,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
AddDictToTuple,single_path_loop,single_path_loop,False,False,uses Java strings; uses Java collections; declares boxed primitive values; uses Object values,,low,False,True,1,False,False,0
SumElements,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
TupString,single_path_loop,single_path_loop,False,False,uses Java strings; creates Java objects,,low,False,True,1,True,False,1
ConcatenateStrings,single_path_loop,single_path_loop,False,False,uses Java strings; uses Java collections,,possible,False,True,1,False,False,0
CountElementFreq,nested,nested,False,False,uses Java collections; uses Object values,,possible,True,True,2,True,False,0
IsUndulating,multi_path_loop,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,False,False,1
LongestSubseqWithDiffOne,nested,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
RemoveReplica,multi_path_loop,multi_path_loop,False,False,uses Java collections; uses Object values; creates Java objects,,possible,True,True,1,True,False,1
OddValuesString,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
RemoveUppercase,sequential,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
SwapList,branch,branch,True,False,,,possible,True,False,0,True,False,1
IsEven,sequential,sequential,False,True,declares boxed primitive values,check bitwise and shift translation,low,False,False,0,False,False,1
Lcopy,sequential,sequential,True,False,,,low,False,False,0,True,False,1
PairOrSum,nested,nested,True,True,,check bitwise and shift translation,possible,False,True,2,True,False,1
FindRotations,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,True,False,1
SuperSeq,branch,recursive,False,True,uses Java strings,check the corresponding C math-library operation,possible,True,False,0,False,True,1
