class_name,category,eligible,review_required,exclusion_reasons,review_reasons,overflow_risk,has_if,has_loop,estimated_loop_depth,has_array,has_recursion,method_count
ParabolaDirectrix,sequential,True,False,,,possible,False,False,0,False,False,1
CombineLists,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SecondFrequent,nested,False,True,uses Java strings; creates Java objects,review nontrivial loop control,possible,True,True,2,True,False,1
TextMatchOne,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
MinOps,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
LongestIncreasingSubsequence,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
ConsecutiveDuplicates,multi_path_loop,False,True,uses Object values; creates Java objects,review helper-method translation,possible,True,True,1,True,True,2
Minimum,branch,True,False,,,low,True,False,0,False,False,1
MinOfTwo,branch,True,False,,,low,True,False,0,False,False,1
MaxSumIncreasingSubsequence,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
CountFac,multi_path_loop,True,True,,review nontrivial loop control,possible,True,True,1,False,False,1
SumEven,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
SortCounter,single_path_loop,False,False,uses Java strings; uses Java collections; uses streams or lambdas; uses Object values; creates Java objects,,possible,False,True,1,True,False,1
PrimeNum,multi_path_loop,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,True,True,1,False,False,1
ExtractSingly,nested,False,False,uses Java collections,,possible,False,True,2,True,False,1
MutipleTuple,single_path_loop,True,False,,,possible,False,True,1,True,False,1
NumCommDiv,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
CommonPrefix,nested,False,False,uses Java strings,,possible,True,True,2,True,False,1
FindLongWord,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,True,False,1
RadianDegree,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,low,False,False,0,False,False,1
SumNums,branch,True,False,,,possible,True,False,0,False,False,1
PairWise,single_path_loop,True,False,,,possible,True,True,1,True,False,1
Answer,multi_path_loop,False,True,uses Java collections,review nontrivial loop control,possible,True,True,1,False,False,0
SubstractElements,nested,True,False,,,possible,False,True,2,True,False,1
TwoUniqueNums,multi_path_loop,False,False,uses Java collections,,possible,True,True,1,True,False,1
AreaPolygon,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,False,False,0,False,False,1
SimilarElements,multi_path_loop,False,False,uses Java collections,,possible,True,True,1,True,False,1
MaxSubArraySumRepeated,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
RotateLeft,single_path_loop,True,False,,,possible,False,True,1,True,False,1
MultiplesOfNum,single_path_loop,True,False,,,possible,False,True,1,True,False,1
CheckIsosceles,sequential,False,False,declares boxed primitive values,,low,False,False,0,False,False,1
CountElim,multi_path_loop,False,False,uses Object values,,possible,True,True,1,True,False,1
CountIntgralPoints,sequential,True,False,,,possible,False,False,0,False,False,1
MaxSubArraySum,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountingSort,nested,True,False,,,possible,True,True,2,True,False,1
SumEvenOdd,multi_path_loop,True,True,,review nontrivial loop control,possible,True,True,1,True,False,1
CheckChar,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
MinProductTuple,nested,True,True,,check the corresponding C math-library operation,possible,False,True,2,True,False,1
IsNotPrime,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,False,False,1
FindLucas,single_path_loop,True,False,,,possible,False,True,1,True,False,1
RemoveAllSpaces,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,False,False,1
Split,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
Count,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
AddDictToTuple,single_path_loop,False,False,uses Java strings; uses Java collections; declares boxed primitive values; uses Object values,,low,False,True,1,False,False,0
SumElements,single_path_loop,True,False,,,possible,False,True,1,True,False,1
TupString,single_path_loop,False,False,uses Java strings; creates Java objects,,low,False,True,1,True,False,1
ConcatenateStrings,single_path_loop,False,False,uses Java strings; uses Java collections,,possible,False,True,1,False,False,0
CountElementFreq,nested,False,False,uses Java collections; uses Object values,,possible,True,True,2,True,False,0
IsUndulating,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,False,False,1
LongestSubseqWithDiffOne,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
RemoveReplica,multi_path_loop,False,False,uses Java collections; uses Object values; creates Java objects,,possible,True,True,1,True,False,1
OddValuesString,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
RemoveUppercase,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
SwapList,branch,True,False,,,possible,True,False,0,True,False,1
IsEven,sequential,False,True,declares boxed primitive values,check bitwise and shift translation,low,False,False,0,False,False,1
Lcopy,sequential,True,False,,,low,False,False,0,True,False,1
PairOrSum,nested,True,True,,check bitwise and shift translation,possible,False,True,2,True,False,1
FindRotations,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,True,False,1
SuperSeq,branch,False,True,uses Java strings,check the corresponding C math-library operation,possible,True,False,0,False,True,1
WordLen,branch,False,False,uses Java strings; declares boxed primitive values,,possible,True,False,0,False,False,1
CountSamepair,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
ExtractNthElement,single_path_loop,False,False,uses Object values; creates Java objects,,possible,False,True,1,True,False,1
AddTuple,sequential,True,False,,,possible,False,False,0,True,False,1
NextPowerOf2,single_path_loop,True,True,,check bitwise and shift translation,low,True,True,1,False,False,1
CheckOccurences,single_path_loop,False,False,uses Java strings; uses Java collections,,possible,False,True,1,True,False,0
SampleNam,multi_path_loop,False,True,uses Java strings,review nontrivial loop control,possible,True,True,1,True,False,1
SquarePerimeter,sequential,True,False,,,possible,False,False,0,False,False,1
FindSubstring,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,low,True,True,1,True,False,1
MaxDifference,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
Maxaverageofpath,nested,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,True,2,True,False,1
RemoveDuplicList,multi_path_loop,False,False,uses Java strings; uses Java collections; creates Java objects,,low,True,True,1,True,False,1
ParabolaVertex,sequential,True,True,,review floating-point semantics,possible,False,False,0,True,False,1
AreaTetrahedron,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,False,False,0,False,False,1
ExtractMax,multi_path_loop,False,False,uses Java strings,,low,True,True,1,True,False,1
AdjacentNumProduct,multi_path_loop,False,False,uses Java exceptions; creates Java objects,,possible,True,True,1,True,False,1
RepeatTuples,single_path_loop,True,False,,,possible,False,True,1,True,False,1
DecimalToBinary,single_path_loop,False,False,uses Java strings,,possible,False,True,1,False,False,1
PalindromeLambda,multi_path_loop,False,True,uses Java strings; creates Java objects,review helper-method translation,possible,True,True,1,True,True,2
CountDivisors,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
LateralsufaceCylinder,sequential,False,True,declares boxed primitive values,review floating-point semantics,possible,False,False,0,False,False,1
CatalanNumber,nested,True,False,,,possible,False,True,2,True,False,1
DictFilter,multi_path_loop,False,False,uses Java strings; uses Java collections,,low,True,True,1,False,False,0
CountWithOddSetbits,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
